Temp01,Hum01,Mean_Phosphorous,Mean_Nitrogen,Mean_Potassium,Mean_Moisture
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,94.0,155.0,135.0,97.0,1.0
28.5,93.99438202247191,155.0,135.0,97.0,1.0
28.5,93.98876404494382,155.0,135.0,97.0,1.0
28.5,93.98314606741573,155.0,135.0,97.0,1.0
28.5,93.97752808988764,155.0,135.0,97.0,1.0
28.5,93.97191011235955,155.0,135.0,97.0,1.0
28.5,93.96629213483146,155.0,135.0,97.0,1.0
28.5,93.96067415730337,155.0,135.0,97.0,1.0
28.5,93.95505617977528,155.0,135.0,97.0,1.0
28.5,93.9494382022472,155.0,135.0,97.0,1.0
28.5,93.9438202247191,155.0,135.0,97.0,1.0
28.5,93.93820224719101,155.0,135.0,97.0,1.0
28.5,93.93258426966293,155.0,135.0,97.0,1.0
28.5,93.92696629213484,155.0,135.0,97.0,1.0
28.5,93.92134831460675,155.0,135.0,97.0,1.0
28.5,93.91573033707866,155.0,135.0,97.0,1.0
28.5,93.91011235955057,155.0,135.0,97.0,1.0
28.5,93.90449438202248,155.0,135.0,97.0,1.0
28.5,93.89887640449439,155.0,135.0,97.0,1.0
28.5,93.8932584269663,155.0,135.0,97.0,1.0
28.5,93.88764044943821,155.0,135.0,97.0,1.0
28.5,93.88202247191012,155.0,135.0,97.0,1.0
28.5,93.87640449438203,155.0,135.0,97.0,1.0
28.5,93.87078651685393,155.0,135.0,97.0,1.0
28.5,93.86516853932584,155.0,135.0,97.0,1.0
28.5,93.85955056179775,155.0,135.0,97.0,1.0
28.5,93.85393258426966,155.0,135.0,97.0,1.0
28.5,93.84831460674157,155.0,135.0,97.0,1.0
28.5,93.84269662921348,155.0,135.0,97.0,1.0
28.5,93.83707865168539,155.0,135.0,97.0,1.0
28.5,93.8314606741573,155.0,135.0,97.0,1.0
28.5,93.82584269662921,155.0,135.0,97.0,1.0
28.5,93.82022471910112,155.0,135.0,97.0,1.0
28.5,93.81460674157303,155.0,135.0,97.0,1.0
28.5,93.80898876404494,155.0,135.0,97.0,1.0
28.5,93.80337078651685,155.0,135.0,97.0,1.0
28.5,93.79775280898876,155.0,135.0,97.0,1.0
28.5,93.79213483146067,155.0,135.0,97.0,1.0
28.5,93.78651685393258,155.0,135.0,97.0,1.0
