Date,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,pH values of worm feed
7 March 2024,"50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells",6.5
8 March 2024,,,,20g of cardboard,,
9 March 2024,,,,,,
10 March 2024,,,40g of distilled water,40g of distilled water,,
11 March 2024,,,,,,
12 March 2024,"100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells",7.8
13 March 2024,,,,,,
14 March 2024,,,,,,
15 March 2024,,,,,,
16 March 2024,"50g of distilled water, 1 spoon of dried pea pods, 6g of crushed eggshells","50g of distilled water, 1 spoon of dried pea pods, 6g of crushed eggshells","50g of distilled water, 1 spoon of dried pea pods, 6g of crushed eggshells","100g of distilled water, 1 spoon of dried pea pods, 6g of crushed eggshells","100g of distilled water, 1 spoon of dried pea pods, 6g of crushed eggshells",7.8
17 March 2024,,,,,,
18 March 2024,,,,40g of distilled water,40g of distilled water,
19 March 2024,,20g of cardboard,,,,
20 March 2024,"100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells",7.8
21 March 2024,,40g of distilled water,40g of distilled water,,,
22 March 2024,,,,,,
23 March 2024,,20g of cardboard,,"40g of distilled water, 20g of cardboard",,
24 March 2024,"100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 35g coffee grounds, 5g of crushed eggshells","100g of distilled water, 15g coffee grounds, 1 spoon of dried mint leaves, 5g of crushed eggshells","100g of distilled water, 35g coffee grounds, 5g of crushed eggshells","100g of distilled water, 35g coffee grounds, 5g of crushed eggshells",7.4
25 March 2024,,,,,,
26 March 2024,,,,40g of distilled water,,
27 March 2024,,,,,40g of distilled water,
28 March 2024,"50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells",,"50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","50g of distilled water, 1 spoon of dried radish tops, 4g of crushed eggshells","40g of distilled water, 20g of cardboard",7.5
29 March 2024,,,,,,
30 March 2024,,,,,,
31 March 2024,,40g of distilled water,,,40g of distilled water,
1 April 2024,,,,,,
2 April 2024,,,40g of distilled water,,,
3 April 2024,,,,,,
4 April 2024,"15g coffee grounds, 100g of distilled water, 1 spoon of dried kale, 3g of crushed eggshells","15g coffee grounds, 100g of distilled water, 1 spoon of dried kale, 3g of crushed eggshells","15g coffee grounds, 100g of distilled water, 1 spoon of dried kale, 3g of crushed eggshells","15g coffee grounds, 100g of distilled water, 1 spoon of dried kale, 3g of crushed eggshells","15g coffee grounds, 100g of distilled water, 1 spoon of dried kale, 3g of crushed eggshells",7.5
5 April 2024,,,,,,
6 April 2024,,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,
7 April 2024,,,,,,
8 April 2024,40g of distilled water,,,,20g of cardboard,
9 April 2024,,20g of cardboard,,,,
10 April 2024,"15g coffee grounds, 100g of distilled water, 3 spoons of coffee grounds","15g coffee grounds, 100g of distilled water, 3 spoons of coffee grounds","15g coffee grounds, 100g of distilled water, 3 spoons of coffee grounds","15g coffee grounds, 100g of distilled water, 3 spoons of coffee grounds","15g coffee grounds, 100g of distilled water, 3 spoons of coffee grounds",7..8
11 April 2024,,,,,,
12 April 2024,40g of distilled water,,,,40g of distilled water,
13 April 2024,40g of distilled water,,40g of distilled water,40g of distilled water,,
14 April 2024,,40g of distilled water,,,,
15 April 2024,,,20g of cardboard,40g of distilled water,,
16 April 2024,,,,,,
