devicename,deviceid,hourly_interval,Soil - EC,Soil - Moisture,Soil - Nitrogen,Soil - PH,Soil - Phosphorus,Soil - Potassium,Soil - Temperature,feed
NDS004,7,2024-07-18 12:00:00,17.0,11.0,0.0,3.3,0.0,0.0,29.1,
NDS004,7,2024-07-18 12:10:00,8.833333333333334,21.216666666666665,67.83333333333333,3.4333333333333336,0.0,129.5,29.11666666666667,
NDS004,7,2024-07-19 05:30:00,24.0,11.85,0.0,7.0,0.0,0.0,29.1,
NDS004,7,2024-07-19 05:40:00,6.0,11.2,114.25,1.75,0.0,194.25,29.125,
NDS004,7,2024-07-22 04:30:00,77.3076923076923,10.5,137.30769230769232,6.915384615384616,176.53846153846155,215.7692307692308,30.861538461538466,
NDS004,7,2024-07-22 04:40:00,29.84210526315789,10.463157894736844,59.21052631578947,5.08421052631579,80.52631578947368,81.57894736842105,36.12105263157895,
NDS004,7,2024-07-22 04:50:00,24.0,10.765,0.0,6.9,0.0,0.0,29.24,
NDS004,7,2024-07-22 05:00:00,24.0,10.36842105263158,0.0,6.9,0.0,0.0,29.321052631578947,
NDS004,7,2024-07-22 05:10:00,24.0,10.283333333333331,0.0,6.900000000000001,0.0,0.0,29.399999999999995,
NDS004,7,2024-07-22 06:00:00,82.85714285714286,11.135714285714286,145.71428571428572,6.935714285714286,182.14285714285717,218.57142857142856,32.66428571428572,
NDS004,7,2024-07-22 06:10:00,10.6,10.3,39.75,5.325,63.75,64.75,34.985,
NDS004,7,2024-07-22 06:20:00,14.526315789473683,10.773684210526318,0.0,7.1000000000000005,0.0,0.0,29.68947368421053,
NDS004,7,2024-07-22 06:30:00,15.0,10.742105263157894,0.0,7.1000000000000005,0.0,0.0,29.73157894736842,
NDS004,7,2024-07-22 06:40:00,15.0,11.23,0.0,7.1,0.0,0.0,29.8,
NDS004,7,2024-07-22 06:50:00,15.0,10.115789473684211,0.0,7.1000000000000005,0.0,0.0,29.81578947368421,
NDS004,7,2024-07-22 07:00:00,15.2,11.1,0.0,7.1,0.0,0.0,29.885,
NDS004,7,2024-07-22 07:10:00,15.052631578947368,10.831578947368422,0.0,7.1000000000000005,0.0,0.0,29.9,
NDS004,7,2024-07-22 07:20:00,15.68421052631579,11.273684210526318,0.0,7.0894736842105255,0.0,0.0,29.9,
NDS004,7,2024-07-22 07:30:00,16.0,10.45,0.0,7.034999999999999,0.0,0.0,29.92,
NDS004,7,2024-07-22 07:40:00,16.0,9.926315789473684,0.0,7.015789473684211,0.0,0.0,29.93157894736842,
NDS004,7,2024-07-22 07:50:00,16.0,11.045,0.0,7.0,0.0,0.0,29.96,
NDS004,7,2024-07-22 08:00:00,16.0,10.957894736842109,0.0,7.0,0.0,0.0,29.973684210526315,
NDS004,7,2024-07-22 08:10:00,16.0,11.225,0.0,7.0,0.0,0.0,29.995,
NDS004,7,2024-07-22 08:20:00,16.0,10.715789473684213,0.0,7.0,0.0,0.0,29.99473684210526,
NDS004,7,2024-07-22 08:30:00,16.0,10.775,0.0,7.0,0.0,0.0,29.99,
NDS004,7,2024-07-22 08:40:00,16.05263157894737,10.747368421052633,0.0,7.0,0.0,0.0,29.989473684210523,
NDS004,7,2024-07-22 08:50:00,16.1,10.425,0.0,7.0,0.0,0.0,29.995,
NDS004,7,2024-07-22 09:00:00,16.210526315789473,11.66315789473684,0.0,7.0,0.0,0.0,29.989473684210523,
NDS004,7,2024-07-22 09:10:00,16.63157894736842,10.736842105263158,0.0,7.0,0.0,0.0,29.96315789473684,
NDS004,7,2024-07-22 09:20:00,16.9,10.495,0.0,7.0,0.0,0.0,29.925,
NDS004,7,2024-07-22 09:30:00,17.0,10.363157894736842,0.0,7.0,0.0,0.0,29.91578947368421,
NDS004,7,2024-07-22 09:40:00,17.0,10.645,0.0,7.0,0.0,0.0,29.905,
NDS004,7,2024-07-22 09:50:00,17.0,10.742105263157894,0.0,7.0,0.0,0.0,29.9,
NDS004,7,2024-07-22 10:00:00,17.0,10.91578947368421,0.0,7.0,0.0,0.0,29.9,
NDS004,7,2024-07-22 10:10:00,19.25,11.16,0.0,6.99,0.0,0.0,29.895,
NDS004,7,2024-07-22 10:20:00,19.05263157894737,11.026315789473683,0.0,6.978947368421053,0.0,0.0,29.889473684210525,
NDS004,7,2024-07-22 10:30:00,17.263157894736842,10.910526315789474,0.0,6.942105263157895,0.0,0.0,29.87894736842105,
NDS004,7,2024-07-22 10:40:00,17.1,11.765,0.0,6.9,0.0,0.0,29.855,
NDS004,7,2024-07-22 10:50:00,17.263157894736842,11.331578947368422,0.0,6.9,0.0,0.0,29.836842105263155,
NDS004,7,2024-07-22 11:00:00,17.3,11.495,0.0,6.9,0.0,0.0,29.82,
