Date,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,pH values of worm feed
26 November 2023,"100g of distilled water, 1 spoon of dried blueberry skins, 5g of coffee grounds (wet)",,"100g of distilled water, 1 spoon of dried blueberry skins, 5g of coffee grounds (wet)","100g of distilled water, 1 spoon of dried blueberry skins, 5g of coffee grounds (wet)","100g of distilled water, 1 spoon of dried blueberry skins, 5g of coffee grounds (wet)",7.7
27 November 2023,,,,,,
28 November 2023,,,,,,
29 November 2023,,,,,,
30 November 2023,,"50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells",,"50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells","50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells",7.4
1 December 2023,"50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells",,"50g of distilled water, 1 spoon of dried edamame, 6g of crushed eggshells, 20g of cardboard",20g of cardboard,,7.7
2 December 2023,,,,,,
3 December 2023,,,,,,
4 December 2023,,,,,,
5 December 2023,,,,,,
6 December 2023,,,20g of cardboard,,,
7 December 2023,,,,,,
8 December 2023,"45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of kailan (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)",6.5
9 December 2023,"20g of distilled water
1 spoon of kailan (dried), 50g of coffee grinds (Dry), 20g of cardboard","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)",40g of distilled water,,"45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)",6.8
10 December 2023,,,,,40g of distilled water,
11 December 2023,,,,,,
12 December 2023,,100g of cardboard,100g of cardboard,,20g of cardboard,
13 December 2023,20g of cardboard,,,40g of distilled water,,
14 December 2023,,,40g of distilled water,,,
15 December 2023,,,,,,
